"lncRNAs","GNCoding","Genes","GPCoding","miRNAs"
"ENSG00000130600","H19","ENSG00000066382","MPPED2","hsa-miR-107,hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-103a-3p,hsa-miR-130b-3p,hsa-miR-3666"
"ENSG00000130600","H19","ENSG00000149582","TMEM25","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000145332","KLHL8","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000157570","TSPAN18","hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000140479","PCSK6","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000171365","CLCN5","hsa-miR-107,hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-103a-3p,hsa-miR-130b-3p,hsa-miR-3666"
"ENSG00000130600","H19","ENSG00000110987","BCL7A","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000143178","TBX19","hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000107864","CPEB3","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-107,hsa-miR-130a-3p,hsa-miR-103a-3p,hsa-miR-130b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000115652","UXS1","hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000108797","CNTNAP1","hsa-miR-107,hsa-miR-370-3p,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000134243","SORT1","hsa-miR-138-5p"
"ENSG00000130600","H19","ENSG00000173267","SNCG","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000184371","CSF1","hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p,hsa-miR-3666"
"ENSG00000130600","H19","ENSG00000169031","COL4A3","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000170962","PDGFD","hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000087494","PTHLH","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-107,hsa-miR-103a-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000077044","DGKD","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000182253","SYNM","hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000136960","ENPP2","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-107,hsa-miR-103a-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000176749","CDK5R1","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000168291","PDHB","hsa-miR-370-3p"
"ENSG00000130600","H19","ENSG00000179241","LDLRAD3","hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000131759","RARA","hsa-miR-138-5p"
